timestamp,title,price,original_price,shipping,item_url,discount_percentage
2025-10-31 17:09:06,Sony WF-1000XM5 Truly Wireless Bluetooth Noise Canceling Headphones - Black,139.99,299.99,Shipping info unavailable,https://www.ebay.com/itm/276015021037?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419,53.34
2025-10-31 17:09:06,Netac 1TB 2TB 512GB Internal SSD 2.5'' SATA III 6Gb/s Solid State Drive lot,13.99,13.99,Shipping info unavailable,https://www.ebay.com/itm/314555594439?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421,0.0
2025-10-31 17:09:06,"WD Ultrastar DC HC530 14TB SATA 6G 3.5"" 7200RPM Enterprise HDD - WUH721414ALE604",164.99,199.99,Shipping info unavailable,https://www.ebay.com/itm/155672990441?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421,17.5
2025-10-31 17:09:06,Recertified 2TB WD Elements Portable Hard Drive - RWDBUZG0020BBK-WESN,45.99,79.99,Shipping info unavailable,https://www.ebay.com/itm/296244823016?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421,42.51
2025-10-31 17:09:06,Seagate BarraCuda 8TB ST8000DM004 (Recertified),125.0,125.0,Shipping info unavailable,https://www.ebay.com/itm/236170725942?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421,0.0
2025-10-31 17:09:06,"Bose Ultra Open Earbuds, Certified Refurbished",149.0,299.0,Shipping info unavailable,https://www.ebay.com/itm/186628375702?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403,50.17
2025-10-31 17:09:06,JBL PartyBox Stage 320 Illuminated LED Wireless Bluetooth Speaker - Black,375.99,599.99,Shipping info unavailable,https://www.ebay.com/itm/157359929835?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403,37.33
2025-10-31 17:09:06,Skullcandy CRUSHER ANC XT 2 Wireless Headphones-BLACK (Cert Refurb),85.99,199.99,Shipping info unavailable,https://www.ebay.com/itm/375226678774?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403,57.0
2025-10-31 17:09:06,JBL PartyBox 1000 Portable Bluetooth Party Speaker with Full Panel Light Effects,807.0,1349.95,Shipping info unavailable,https://www.ebay.com/itm/184651964031?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403,40.22
2025-10-31 17:09:07,Canon imageCLASS MF753Cdw Wireless Duplex Laser Printer with Scanning and Fax,333.99,399.95,Shipping info unavailable,https://www.ebay.com/itm/376410019331?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417,16.49
2025-10-31 17:09:07,Canon imageCLASS D1620 Duplex Laser Printer (Certified Refurbished),251.99,379.95,Shipping info unavailable,https://www.ebay.com/itm/376458445210?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417,33.68
2025-10-31 17:09:07,HP HP-OJPRO9128E-RB OfficeJet Pro 9128e All-in-One Printer-Certified Refurbished,128.79,169.99,Shipping info unavailable,https://www.ebay.com/itm/135849081171?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417,24.24
2025-10-31 17:09:07,Canon imageCLASS MF445dw All-In-One Laser Printer (Refurbished),199.95,239.95,Shipping info unavailable,https://www.ebay.com/itm/286645988906?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417,16.67
2025-10-31 17:09:07,"REDTIGER Dash Camera 4K Front and Rear Dash Cam Built-In WiFi & GPS, App control",64.49,129.49,Shipping info unavailable,https://www.ebay.com/itm/285933024479?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432,50.2
2025-10-31 17:09:07,X7 HD 24V 12V Diesel Heavy Duty Truck Scanner E-CU Coding All System DPF Regen,674.99,899.99,Shipping info unavailable,https://www.ebay.com/itm/154567834067?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432,25.0
2025-10-31 17:09:07,REDTIGER 4K Dash Cam Front and Rear Dual Dash Camera WIFI&GPS With 32GB SD Card,64.49,129.49,Shipping info unavailable,https://www.ebay.com/itm/285048811560?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432,50.2
2025-10-31 17:09:07,2025 Thinkscan Plus S7 Car OBD2 Scanner Auto Diagnostic Tool ABS SRS BCM IC AC,119.99,189.99,Shipping info unavailable,https://www.ebay.com/itm/394131576153?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432,36.84
2025-10-31 17:09:07,Canon EF 200mm f2.8 L II USM Lens #Q,400.7,430.86,Shipping info unavailable,https://www.ebay.com/itm/146853896899?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,7.0
2025-10-31 17:09:07,Nikon FTZ II Mount Adapter,219.95,249.95,Shipping info unavailable,https://www.ebay.com/itm/225049340356?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,12.0
2025-10-31 17:09:07,Sigma 24-70MM F2.8 DG DN II ART Lens Sony E Mount Bundle with SanDisk 64GB SD,1249.99,1299.99,Shipping info unavailable,https://www.ebay.com/itm/375511057573?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,3.85
2025-10-31 17:09:07,Fujifilm XF 16-80mm f/4 R OIS WR Lens,549.95,799.0,Shipping info unavailable,https://www.ebay.com/itm/326577238364?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425,31.17
